PXXX;	X:	Y:	Z:	J1;	J2;	J3;	J4;	J5;	J6;	
001	16182	30510	00891	037882	297164	006122	000388	123536	037460	
002	21442	24526	00849	029468	299411	003095	000435	122710	029018	
003	15747	20038	00530	028167	285121	022295	000331	127555	027767	
004	09974	14592	00169	025188	269885	039784	000279	129772	024822	
005	21069	10133	00457	014774	287843	019069	000393	126996	014333	
006	09358	23712	00485	036402	278242	030391	000234	128766	036069	
007	15870	23162	00574	031334	288410	018156	000298	126710	030965	
008	09693	04703	-0107	011005	262729	047034	000550	129845	010468	
009	07954	17432	00186	030201	268858	040769	000294	129759	029850	
010	23476	16378	00652	020642	296175	007875	000483	124200	020187	
