PXXX;	X:	Y:	Z:	J1;	J2;	J3;	J4;	J5;	J6;	
001	43352	10379	33369	013432	274665	013616	000068	108197	011314
031	43352	10379	30276	013432	274665	013616	000068	108197	011314	
002	52141	10414	30276	011270	293558	351167	000063	104684	008262	
003	52040	05832	30276	006374	291704	353580	000050	105216	002811	
011	57034	04582	30276	004559	303776	337158	000093	100880	000402	
004	60032	-0889	30276	359100	312356	324451	000142	096740	354207	
012	57436	-6347	30276	353639	305377	334848	000146	100156	347786	
005	52041	-7918	30276	351290	292359	352735	000142	105003	344744	
006	52043	-11801	30276	347170	294049	350522	000134	104491	340257	
007	43305	-11762	30276	344738	275332	012899	000143	108103	337108	
